critic,fresh,imdb,publication,quote,review_date,rtid,title
Mike Clark,fresh,0116282,USA Today,A nifty bit of nastiness from two of our most dependably provocative filmmakers.,2000-01-01,104762093,Fargo
Stanley Kauffmann,fresh,0116282,The New Republic,The hot news about Joel and Ethan Coen is that they have made a tolerable film.,2000-01-01,104762093,Fargo
Joe Leydon,none,0116552,Variety,,2009-03-26,9524,Homeward Bound II: Lost in San Francisco
Kevin McManus,fresh,0116552,Washington Post,The tone is ideal for a family audience. The length is perfect. And the sequence of last-minute surprises elicits tears and laughter in just the right proportions.,2003-04-02,9524,Homeward Bound II: Lost in San Francisco
Rita Kempley,fresh,0116552,Washington Post,"Wee urbanites might find Disney's scorn for city life a shade offputting, but if preview audiences are any indication, little ones will laugh their tiny heinies off at the humor herein.",2000-01-01,9524,Homeward Bound II: Lost in San Francisco
Roger Ebert,rotten,0116552,Chicago Sun-Times,"The first movie was good-hearted and I liked it, but since then Babe has raised the bar, with animals that not only talk more realistically, but say things that are wittier and more pungent.",2000-01-01,9524,Homeward Bound II: Lost in San Francisco
Susan Stark,rotten,0116552,Detroit News,,2000-01-01,9524,Homeward Bound II: Lost in San Francisco
Stephen Holden,fresh,0116552,New York Times,It does a better job than most family films in projecting a child's-eye view of a world where siblings and pets are equally cherished members of the family.,2000-01-01,9524,Homeward Bound II: Lost in San Francisco
Peter Stack,fresh,0116552,San Francisco Chronicle,"Taken on its own entirely hokey terms, Homeward Bound II: Lost in San Francisco is a charming romp of a talking animal movie.",2000-01-01,9524,Homeward Bound II: Lost in San Francisco
Susan Wloszczyna,fresh,0116552,USA Today,It's more padded than Lassie's bed. But 9-and-unders were having a tail-wagging good time.,2000-01-01,9524,Homeward Bound II: Lost in San Francisco
Variety Staff,rotten,0082509,Variety,"Initial segments have a boisterous blend of dynamic graphics, intriguing plot premises and sly wit that unfortunately slide gradually downhill.",2009-03-26,13299,Heavy Metal
Dave Kehr,fresh,0082509,Chicago Reader,"Some of the animation is first-rate, particularly in the more modest comedy segments, and even the heavy set pieces have greater flash and dazzle than anything Ralph Bakshi mustered around the same period.",2007-04-16,13299,Heavy Metal
Derek Adams,rotten,0082509,Time Out,"Fantasies that are gratuitously sexist and Fascist (macho whoring and warmongering), and whose roots reach all the way back to post-hippie paranoia, feed the tangled plot-lines of a movie that... should disappoint even the teenage wet-dreamers.",2006-02-09,13299,Heavy Metal
Janet Maslin,fresh,0082509,New York Times,"Heavy Metal has been animated with great verve, and scored very well, with music much less ear-splitting than the title would suggest.",2004-08-30,13299,Heavy Metal
Jeff Gilbert,fresh,0082509,Film.com,"Regardless of its dated stylishness (which still holds up remarkably well a decade plus later), Heavy Metal was a pioneering film in 1981 and remains a pivitol and infuential body of art today.",2000-01-01,13299,Heavy Metal
Bruce Reid,rotten,0082509,Film.com,"Asked if I wanted to see it again, I figured, why not? I would have remembered if it was really bad. But memory does play tricks.",2000-01-01,13299,Heavy Metal
Daniel M. Kimmel,rotten,0116514,Variety,"Except for the most undiscriminating gorehound, pic is a pointless mess.",2005-04-29,13552,Hellraiser: Bloodline
Stephen Holden,none,0116514,New York Times,,2003-05-20,13552,Hellraiser: Bloodline
Kevin Thomas,none,0116514,Los Angeles Times,,2001-02-14,13552,Hellraiser: Bloodline
Richard Harrington,none,0116514,Washington Post,,2000-01-01,13552,Hellraiser: Bloodline
Owen Gleiberman,fresh,0117283,Entertainment Weekly,,2011-09-07,12017,The Pallbearer
Todd McCarthy,none,0117283,Variety,,2009-03-26,12017,The Pallbearer
Kevin Thomas,none,0117283,Los Angeles Times,,2001-02-14,12017,The Pallbearer
Janet Maslin,none,0117283,New York Times,,2000-01-01,12017,The Pallbearer
Roger Ebert,fresh,0117283,Chicago Sun-Times,,2000-01-01,12017,The Pallbearer
James Berardinelli,rotten,0117283,ReelViews,,2000-01-01,12017,The Pallbearer
Joe Baltake,none,0117283,Sacramento Bee,,2000-01-01,12017,The Pallbearer
Susan Stark,rotten,0117283,Detroit News,,2000-01-01,12017,The Pallbearer
Peter Stack,none,0117283,San Francisco Chronicle,,2000-01-01,12017,The Pallbearer
,none,0117283,Washington Post,,2000-01-01,12017,The Pallbearer
,fresh,0117283,Entertainment Weekly,,1996-05-03,12017,The Pallbearer
,none,0070506,Time Out,,2006-02-09,19937,Pane e cioccolata
Vincent Canby,none,0070506,New York Times,,2005-05-09,19937,Pane e cioccolata
Dave Kehr,none,0070506,Chicago Reader,,2000-01-01,19937,Pane e cioccolata
Stefan Kanfer,fresh,0065421,TIME Magazine,"The animals' exuberance is so infectious and their ""acting"" so true to human life that by the fadeout The Aristocats does, indeed, give the audience paws for reflection.",2009-11-04,9398,The AristoCats
Dave Kehr,rotten,0065421,Chicago Reader,"This 1970 animated feature is dull, careless, and all too typical of the Disney studio's slapdash output before the unexpected renaissance of The Rescuers.",2009-11-04,9398,The AristoCats
Variety Staff,fresh,0065421,Variety,"Helped immeasurably by the voices of Phil Harris, Eva Gabor, Sterling Holloway, Scatman Crothers and others, plus some outstanding animation, songs, sentiment, some excellent dialog and even a touch of psychedelia.",2008-06-17,9398,The AristoCats
Wally Hammond,fresh,0065421,Time Out,Purr-fect.,2006-06-24,9398,The AristoCats
,fresh,0065421,New York Times,"The real beauty of the picture, which is as amusing, smoothly machined and beautifully colored as any Disney should be, is in the characterizations, sustained within a sprightly but simple format.",2005-05-09,9398,The AristoCats
David Rooney,none,0113083,Variety,,2008-07-01,22549,La flor de mi secreto
,none,0113083,Washington Post,,2006-08-12,22549,La flor de mi secreto
,none,0113083,Time Out,,2006-01-26,22549,La flor de mi secreto
Caryn James,fresh,0113083,New York Times,"Though The Flower of My Secret is a slight work, it is a pleasing return to form.",2003-05-20,22549,La flor de mi secreto
Desson Thomson,fresh,0113083,Washington Post,"The movie is full of familiar Almodovar fare, but it feels freshened.",2002-12-11,22549,La flor de mi secreto
Kevin Thomas,fresh,0113083,Los Angeles Times,"An intimate, beautifully wrought work, it reflects a new maturity in Almodovar's work and is one of his best pictures.",2001-02-14,22549,La flor de mi secreto
Edward Guthmann,fresh,0113083,San Francisco Chronicle,"It's a witty, intelligent scramble, and it's beautifully mounted.",2000-01-01,22549,La flor de mi secreto
Roger Ebert,rotten,0113083,Chicago Sun-Times,"Likely to be disappointing to Almodovar's admirers, and inexplicable to anyone else.",2000-01-01,22549,La flor de mi secreto
Jeff Millar,rotten,0113083,Houston Chronicle,"If Leo appears to be doing some more or less orthodox movie-style suffering -- crying jags, a suicide attempt and the like -- perhaps that's just what she's supposed to be doing.",2000-01-01,22549,La flor de mi secreto
Mike Clark,fresh,0113083,USA Today,"Secret isn't the usual romp, but it's Almodovar's most committed work in years.",2000-01-01,22549,La flor de mi secreto
Joe Baltake,fresh,0113083,Sacramento Bee,"A ripe, entertaining soap opera.",2000-01-01,22549,La flor de mi secreto
Rita Kempley,fresh,0113083,Washington Post,"Though Almodovar touches on many of his favorite absurdities, he does so with surprising subtlety.",2000-01-01,22549,La flor de mi secreto
Scott Rosenberg,fresh,0113083,Salon.com,It slowly unfolds from a narrow satire into a romance that's rich with real-life bitterness.,2000-01-01,22549,La flor de mi secreto
James Berardinelli,rotten,0113083,ReelViews,"It's bland as often as it is affecting, and presents little that's new or original.",2000-01-01,22549,La flor de mi secreto
David Rooney,none,0118001,Variety,,2009-03-26,12321,Two Much
Geoff Andrew,none,0118001,Time Out,,2006-06-24,12321,Two Much
Jonathan Rosenbaum,none,0118001,Chicago Reader,,2004-09-04,12321,Two Much
,none,0118001,Los Angeles Times,,2001-02-14,12321,Two Much
,none,0118001,Houston Chronicle,,2000-01-01,12321,Two Much
Roger Ebert,rotten,0118001,Chicago Sun-Times,,2000-01-01,12321,Two Much
Stanley Kauffmann,none,0118001,The New Republic,,2000-01-01,12321,Two Much
,none,0118001,New York Times,,2000-01-01,12321,Two Much
Peter Stack,none,0118001,San Francisco Chronicle,,2000-01-01,12321,Two Much
James Berardinelli,rotten,0118001,ReelViews,,2000-01-01,12321,Two Much
Joe Baltake,none,0118001,Sacramento Bee,,2000-01-01,12321,Two Much
,rotten,0118001,Entertainment Weekly,,1996-03-15,12321,Two Much
,none,0102855,Variety,,2012-02-23,770673074,Cerro Torre: Schrei aus Stein
Lisa Schwarzbaum,fresh,0107471,Entertainment Weekly,,2011-09-07,19293,Ma saison préférée
Todd McCarthy,none,0107471,Variety,,2008-12-31,19293,Ma saison préférée
Derek Adams,none,0107471,Time Out,,2006-02-09,19293,Ma saison préférée
Kevin Thomas,none,0107471,Los Angeles Times,,2001-02-14,19293,Ma saison préférée
Edward Guthmann,none,0107471,San Francisco Chronicle,,2000-01-01,19293,Ma saison préférée
Jonathan Rosenbaum,none,0107471,Chicago Reader,,2000-01-01,19293,Ma saison préférée
Roger Ebert,fresh,0107471,Chicago Sun-Times,"One of those intriguing films that functions without a plot, and uses instead an intense curiosity about its characters.",2000-01-01,19293,Ma saison préférée
Janet Maslin,none,0107471,New York Times,,2000-01-01,19293,Ma saison préférée
Stanley Kauffmann,none,0107471,The New Republic,,2000-01-01,19293,Ma saison préférée
James Berardinelli,fresh,0107471,ReelViews,,2000-01-01,19293,Ma saison préférée
,fresh,0107471,Entertainment Weekly,,1800-01-01,19293,Ma saison préférée
Dennis Harvey,none,0113839,Variety,,2011-04-22,770800369,A Modern Affair
Daniel M. Kimmel,rotten,0113839,Variety,This mix of sitcomsitcom antics and romantic melodrama involving a couple who meet through a sperm donation is a complete misfire...,2005-04-29,770800369,A Modern Affair
Michael O'Sullivan,none,0113839,Washington Post,,2002-01-22,770800369,A Modern Affair
Stephen Holden,none,0113839,New York Times,,2000-01-01,770800369,A Modern Affair
Lisa Schwarzbaum,rotten,0117891,Entertainment Weekly,,2011-09-07,14135,A Thin Line Between Love and Hate
Brian Lowry,rotten,0117891,Variety,Sluggishly paced and too seldom funny...,2009-03-26,14135,A Thin Line Between Love and Hate
Geoff Andrew,rotten,0117891,Time Out,"The script lacks wit and depth, while Lawrence's direction is meandering and undramatic, full of showy, over-elaborate camera movements.",2006-02-09,14135,A Thin Line Between Love and Hate
Stephen Holden,rotten,0117891,New York Times,"Too serious to be a comedy, too flippant to be a thriller, it often feels like a backhanded act of penance for the misogynist humor in the star's comedy act.",2003-05-20,14135,A Thin Line Between Love and Hate
Edward Guthmann,rotten,0117891,San Francisco Chronicle,"[Lawrence is] a charming, gifted comic with a killer smile, but he's way out of his depth in this Fatal Attraction knockoff, which he also co-wrote and stars in.",2002-06-18,14135,A Thin Line Between Love and Hate
James Berardinelli,rotten,0117891,ReelViews,"The screenplay is credited to four writers, and its unevenness argues that none of them were on the same wavelength.",2000-01-01,14135,A Thin Line Between Love and Hate
Susan Stark,rotten,0117891,Detroit News,,2000-01-01,14135,A Thin Line Between Love and Hate
Andy Seiler,rotten,0117891,USA Today,"A Thin Line Between Love and Hate takes its name from the Persuaders 1971 hit that has been re-recorded by the Pretenders, Annie Lennox and H-Town. You could have just as much fun simply playing one of them and skipping the movie.",2000-01-01,14135,A Thin Line Between Love and Hate
,rotten,0117891,Entertainment Weekly,,1996-04-03,14135,A Thin Line Between Love and Hate
,none,0117381,Variety,,2012-02-23,13253,Primal Fear
Todd McCarthy,none,0117381,Variety,,2008-07-25,13253,Primal Fear
Derek Adams,none,0117381,Time Out,,2006-06-24,13253,Primal Fear
Janet Maslin,none,0117381,New York Times,,2003-05-20,13253,Primal Fear
Peter Stack,fresh,0117381,San Francisco Chronicle,,2002-06-18,13253,Primal Fear
Peter Travers,none,0117381,Rolling Stone,,2001-05-12,13253,Primal Fear
Kenneth Turan,none,0117381,Los Angeles Times,,2001-02-14,13253,Primal Fear
James Berardinelli,rotten,0117381,ReelViews,,2000-01-01,13253,Primal Fear
,none,0117381,Houston Chronicle,,2000-01-01,13253,Primal Fear
Joe Baltake,none,0117381,Sacramento Bee,,2000-01-01,13253,Primal Fear
Andrew Ross,none,0117381,Salon.com,,2000-01-01,13253,Primal Fear
,none,0117381,Washington Post,,2000-01-01,13253,Primal Fear
Mike Clark,fresh,0117381,USA Today,"As a forum for its actors and for the big-screen directorial debut of multi-Emmy winner Gregory Hoblit, the film is up to the job.",2000-01-01,13253,Primal Fear
Roger Ebert,fresh,0117381,Chicago Sun-Times,,2000-01-01,13253,Primal Fear
Susan Stark,fresh,0117381,Detroit News,,2000-01-01,13253,Primal Fear
,rotten,0117381,Entertainment Weekly,,1996-04-05,13253,Primal Fear
Lisa Schwarzbaum,rotten,0115837,Entertainment Weekly,,2011-09-07,14458,Carried Away
Leonard Klady,none,0115837,Variety,,2009-03-26,14458,Carried Away
,none,0115837,Washington Post,,2006-08-05,14458,Carried Away
Desson Thomson,rotten,0115837,Washington Post,"Tries to incorporate almost film-noir elements into a heartland love story. The blending feels inorganic; and composer Bruce Broughton doesn't help matters by coating every moment with a repetitive, syrupy theme.",2006-08-02,14458,Carried Away
,none,0115837,Time Out,,2006-02-09,14458,Carried Away
Stephen Holden,fresh,0115837,New York Times,An earnestly well-meaning film whose adult characters have a refreshingly grown-up perspective on their choices in life.,2003-05-20,14458,Carried Away
Roger Ebert,fresh,0115837,Chicago Sun-Times,"Everyone in the film -- even the teenager -- is more intelligent and articulate than is usually permitted in American movies, and having gotten themselves into an emotional tangle, they go to work getting themselves out again.",2000-01-01,14458,Carried Away
Hal Hinson,rotten,0115837,Washington Post,"Think Dennis Hopper has played too many crazies? Well, you'll wish he'd stuck to blowing up buses after you see him in Carried Away.",2000-01-01,14458,Carried Away
James Berardinelli,fresh,0115837,ReelViews,"Carried Away is erotic, but it's also thoughtful and intelligent, and, coupled with Hopper's extraordinary performance, that's reason enough to be carried away by this motion picture.",2000-01-01,14458,Carried Away
,rotten,0115837,Entertainment Weekly,,1996-03-29,14458,Carried Away
Joe Leydon,none,0115509,Variety,,2009-03-26,9802,All Dogs Go to Heaven 2
Stephen Holden,none,0115509,New York Times,,2003-05-20,9802,All Dogs Go to Heaven 2
Susan Stark,rotten,0115509,Detroit News,,2000-01-01,9802,All Dogs Go to Heaven 2
Lisa Schwarzbaum,fresh,0114671,Entertainment Weekly,,2011-09-07,133039859,Land and Freedom
,none,0114671,Variety,,2009-03-26,133039859,Land and Freedom
Geoff Andrew,none,0114671,Time Out,,2006-02-09,133039859,Land and Freedom
Caryn James,none,0114671,New York Times,,2003-05-20,133039859,Land and Freedom
Kenneth Turan,none,0114671,Los Angeles Times,,2001-02-14,133039859,Land and Freedom
Hal Hinson,none,0114671,Washington Post,,2000-01-01,133039859,Land and Freedom
Stanley Kauffmann,none,0114671,The New Republic,,2000-01-01,133039859,Land and Freedom
James Berardinelli,fresh,0114671,ReelViews,,2000-01-01,133039859,Land and Freedom
,fresh,0114671,Entertainment Weekly,,1996-03-15,133039859,Land and Freedom
Emanuel Levy,fresh,0112844,Variety,"A minor but quirkily charming comedy about alientaion, love, and folly that reflects the zeitgeist in terms of AIDS and modern technology.",2006-06-19,770739496,Denise Calls Up
,none,0112844,Time Out,,2006-01-26,770739496,Denise Calls Up
Janet Maslin,none,0112844,New York Times,,2003-05-20,770739496,Denise Calls Up
,none,0112844,Washington Post,,2002-10-17,770739496,Denise Calls Up
Hal Hinson,fresh,0112844,Washington Post,Salwen has captured and properly identified a very particular modern American species. His emergence as a filmmaker is a true event.,2002-10-16,770739496,Denise Calls Up
Kenneth Turan,fresh,0112844,Los Angeles Times,"At only 80 minutes, it doesn't overstay its welcome, but slight though it may be, it knows how to create constant smiles.",2001-02-14,770739496,Denise Calls Up
Roger Ebert,rotten,0112844,Chicago Sun-Times,It's hard to care about a movie story in which the characters never meet one another or really care about one another.,2000-01-01,770739496,Denise Calls Up
Joe Baltake,fresh,0112844,Sacramento Bee,"An alert, funny antisocial comedy.",2000-01-01,770739496,Denise Calls Up
Stanley Kauffmann,fresh,0112844,The New Republic,"After a while, besides enjoying the stories as such, we begin to enjoy the film's trickiness, almost all on the phone, as a sort of high-wire act.",2000-01-01,770739496,Denise Calls Up
Mick LaSalle,fresh,0112844,San Francisco Chronicle,"Doesn't go much past its gimmick, but it marks Salwen as a talent worth watching.",2000-01-01,770739496,Denise Calls Up
James Berardinelli,rotten,0112844,ReelViews,Might have been more effective if the writer/director had taken the time to create characters imbued with more than token traces of humanity.,2000-01-01,770739496,Denise Calls Up
Desson Thomson,fresh,0112844,Washington Post,Too slight to be a cautionary fable and not light enough to merit the term 'goofy caper.' But it sits in an enjoyable place of its own.,2000-01-01,770739496,Denise Calls Up
Godfrey Cheshire,none,0116275,Variety,,2009-01-23,12123,A Family Thing
Stephen Holden,none,0116275,New York Times,,2004-08-30,12123,A Family Thing
Peter Stack,fresh,0116275,San Francisco Chronicle,,2002-06-18,12123,A Family Thing
Kenneth Turan,none,0116275,Los Angeles Times,,2001-02-14,12123,A Family Thing
Joe Baltake,none,0116275,Sacramento Bee,,2000-01-01,12123,A Family Thing
Jonathan Rosenbaum,none,0116275,Chicago Reader,,2000-01-01,12123,A Family Thing
Susan Stark,rotten,0116275,Detroit News,,2000-01-01,12123,A Family Thing
Susan Wloszczyna,fresh,0116275,USA Today,"It's likely to be overrated by some and underrated by others, and both contingents will be wrong. One can't, however, overrate the performances, with auntie ruling the roost in more ways than one.",2000-01-01,12123,A Family Thing
Roger Ebert,fresh,0116275,Chicago Sun-Times,,2000-01-01,12123,A Family Thing
James Berardinelli,fresh,0116275,ReelViews,,2000-01-01,12123,A Family Thing
,none,0116275,Washington Post,,2000-01-01,12123,A Family Thing
,fresh,0116275,Entertainment Weekly,,1996-03-29,12123,A Family Thing
Gunnar Rehlin,none,0827729,Variety,,2012-02-23,770679557,Nina Frisk
Owen Gleiberman,rotten,0117608,Entertainment Weekly,,2011-09-07,10970,Sgt. Bilko
Brian Lowry,rotten,0117608,Variety,"Though Martin and a solid supporting cast produce a few scattered moments of near-hilarity, for the most part the terrain here is as flat as it gets.",2008-05-19,10970,Sgt. Bilko
Jonathan Rosenbaum,fresh,0117608,Chicago Reader,[A] celebration of high jinks.,2008-05-19,10970,Sgt. Bilko
,rotten,0117608,Time Out,"This is shoddy hackwork, replaying classic scenarios (the honest new recruit, audits by Pentagon bigwigs and manoeuvres in Nevada) with such disregard for narrative structure the reels might be in the wrong order.",2006-06-24,10970,Sgt. Bilko
Janet Maslin,fresh,0117608,New York Times,"The film is full of gratifying gags like these, but it also has to strain for newly enlarged scope.",2004-08-30,10970,Sgt. Bilko
Peter Stack,fresh,0117608,San Francisco Chronicle,Wacky is just the right tone for a spring comedy.,2002-06-18,10970,Sgt. Bilko
Roger Ebert,fresh,0117608,Chicago Sun-Times,One of the pleasures of the movie is all the little jokes hidden in the corners.,2000-01-01,10970,Sgt. Bilko
Susan Wloszczyna,fresh,0117608,USA Today,Director Jonathan Lynn has had his hits (My Cousin Vinny) and stinkeroos (Greedy). This falls in between.,2000-01-01,10970,Sgt. Bilko
Hal Hinson,fresh,0117608,Washington Post,Martin's aggrieved expressions and sublime physical bits are constantly entertaining.,2000-01-01,10970,Sgt. Bilko
James Berardinelli,rotten,0117608,ReelViews,This Sgt. Bilko should be court-martialed.,2000-01-01,10970,Sgt. Bilko
Susan Stark,rotten,0117608,Detroit News,,2000-01-01,10970,Sgt. Bilko
,rotten,0117608,Entertainment Weekly,,1996-03-29,10970,Sgt. Bilko
Owen Gleiberman,rotten,0113448,Entertainment Weekly,,2011-09-07,11637,Jack & Sarah
,none,0113448,Variety,,2009-03-26,11637,Jack & Sarah
Geoff Andrew,none,0113448,Time Out,,2006-09-23,11637,Jack & Sarah
Jack Mathews,none,0113448,Los Angeles Times,,2001-02-13,11637,Jack & Sarah
Stephen Holden,none,0113448,New York Times,,2000-01-01,11637,Jack & Sarah
Roger Ebert,fresh,0113448,Chicago Sun-Times,,2000-01-01,11637,Jack & Sarah
Joe Baltake,none,0113448,Sacramento Bee,,2000-01-01,11637,Jack & Sarah
Stanley Kauffmann,none,0113448,The New Republic,,2000-01-01,11637,Jack & Sarah
Peter Stack,none,0113448,San Francisco Chronicle,,2000-01-01,11637,Jack & Sarah
,rotten,0113448,Entertainment Weekly,,1996-03-22,11637,Jack & Sarah
,none,0116414,Houston Chronicle,,2008-10-18,298627921,Girl 6
Susan Stark,rotten,0116414,Detroit News,,2008-10-18,298627921,Girl 6
,none,0116414,Washington Post,,2008-10-18,298627921,Girl 6
Todd McCarthy,rotten,0116414,Variety,"[Randle] holds the film together as best she can with her luminous presence and dignity, but can't supply the lacking subtext, past history and motivation.",2008-09-23,298627921,Girl 6
,fresh,0116414,Time Out,"There's something refreshing about the film's reckless proximity to anarchy, the stylishly imaginative cinematography and lusciously exorbitant Prince soundtrack, even if it does ring hollow when Lee tries to get serious on us.",2006-06-24,298627921,Girl 6
Edward Guthmann,rotten,0116414,San Francisco Chronicle,"Lee's never been too hip to women's perspectives, and in Girl 6, he proves that marriage, maturity and 10 years of filmmaking haven't substantially corrected his blind spot.",2002-06-18,298627921,Girl 6
Peter Travers,rotten,0116414,Rolling Stone,Lee has done the impossible: He's sucked the fun out of call-in sex and replaced it with sanctimonious prattle.,2001-05-12,298627921,Girl 6
Kenneth Turan,rotten,0116414,Los Angeles Times,"While Lee is a skillful director, he's also more coldly analytical than emotional, and it is not his style to get us to feel for this woman as much as we should.",2001-02-14,298627921,Girl 6
Jonathan Rosenbaum,rotten,0116414,Chicago Reader,Lee draws his lines between fantasy and reality without much confidence and with only a sketchy logic.,2000-01-01,298627921,Girl 6
Mike Clark,rotten,0116414,USA Today,"Frenetic but lazily conceived, it's like one of those puny low-budget toss-offs Brian De Palma used to spring on us when he thought nobody was looking.",2000-01-01,298627921,Girl 6
Roger Ebert,rotten,0116414,Chicago Sun-Times,Strongly told stories have a way of carrying their characters along with them. But here we have an undefined character in an aimless story. Too bad.,2000-01-01,298627921,Girl 6
James Berardinelli,rotten,0116414,ReelViews,"Lee may have a keen sense of setting and dialogue, but his characterization is off.",2000-01-01,298627921,Girl 6
Laura Miller,rotten,0116414,Salon.com,"Instead of effervescent and mercurial, the movie is simply muddled. What happened?",2000-01-01,298627921,Girl 6
Janet Maslin,fresh,0116414,New York Times,"Mr. Lee isn't as successful at shaping a story around Girl 6, but enjoying her company is all his slender, sunny film really tries to do.",2000-01-01,298627921,Girl 6
Owen Gleiberman,rotten,0116095,Entertainment Weekly,,2011-09-07,14865,Diabolique
Todd McCarthy,none,0116095,Variety,,2009-03-26,14865,Diabolique
,none,0116095,Time Out,,2006-01-26,14865,Diabolique
Peter Stack,rotten,0116095,San Francisco Chronicle,,2002-06-18,14865,Diabolique
Roger Ebert,rotten,0116095,Chicago Sun-Times,,2000-01-01,14865,Diabolique
,none,0116095,Washington Post,,2000-01-01,14865,Diabolique
James Berardinelli,rotten,0116095,ReelViews,,2000-01-01,14865,Diabolique
,none,0116095,Houston Chronicle,,2000-01-01,14865,Diabolique
Joe Baltake,none,0116095,Sacramento Bee,,2000-01-01,14865,Diabolique
Susan Stark,rotten,0116095,Detroit News,,2000-01-01,14865,Diabolique
Mike Clark,rotten,0116095,USA Today,"The husband is still a brute, and the swimming pool is still moldy, but the new Diabolique fails to translate into anything more than the latest ham-handed Hollywood makeover of a European classic.",2000-01-01,14865,Diabolique
Janet Maslin,none,0116095,New York Times,,2000-01-01,14865,Diabolique
,rotten,0116095,Entertainment Weekly,,1996-03-22,14865,Diabolique
Lisa Nesselson,none,0111543,Variety,,2009-03-26,770684032,Un indien dans la ville
Joe Baltake,none,0111543,Sacramento Bee,,2000-01-01,770684032,Un indien dans la ville
Janet Maslin,none,0111543,New York Times,,2000-01-01,770684032,Un indien dans la ville
,none,0111543,Houston Chronicle,,2000-01-01,770684032,Un indien dans la ville
James Berardinelli,rotten,0111543,ReelViews,,2000-01-01,770684032,Un indien dans la ville
Roger Ebert,rotten,0111543,Chicago Sun-Times,"If you, under any circumstances, see Little Indian, Big City, I will never let you read one of my reviews again.",2000-01-01,770684032,Un indien dans la ville
Susan Stark,rotten,0111543,Detroit News,,2000-01-01,770684032,Un indien dans la ville
Andy Seiler,rotten,0111543,USA Today,The French idea of a 'family film' is a bit kinkier than what we're accustomed to.,2000-01-01,770684032,Un indien dans la ville
Peter Stack,none,0111543,San Francisco Chronicle,,2000-01-01,770684032,Un indien dans la ville
Lisa Schwarzbaum,fresh,0113947,Entertainment Weekly,,2011-09-07,496447106,Nelly & Monsieur Arnaud
Derek Elley,none,0113947,Variety,,2009-03-26,496447106,Nelly & Monsieur Arnaud
,none,0113947,Time Out,,2006-01-26,496447106,Nelly & Monsieur Arnaud
,rotten,0113947,Globe and Mail,,2002-12-23,496447106,Nelly & Monsieur Arnaud
,none,0113947,Washington Post,,2002-09-09,496447106,Nelly & Monsieur Arnaud
Desson Thomson,fresh,0113947,Washington Post,Writer-director Sautet's great achievement is to introduce a world of undefinable impulses; the two actors' great achievement is to step into that world and experience them.,2002-09-04,496447106,Nelly & Monsieur Arnaud
Janet Maslin,fresh,0113947,New York Times,"With a fine appreciation for the nuances of polite repression, Sautet makes a quiet, careful study of these two lonely people.",2000-01-01,496447106,Nelly & Monsieur Arnaud
Peter Stack,fresh,0113947,San Francisco Chronicle,It glows with sorrowful humor in its look at two people who seem just right for each other but don't have time on their side.,2000-01-01,496447106,Nelly & Monsieur Arnaud
Jonathan Rosenbaum,fresh,0113947,Chicago Reader,"It's one sign of Sautet's success that, though he presents neither character as especially admirable or exceptional, he makes us care about them a great deal.",2000-01-01,496447106,Nelly & Monsieur Arnaud
Hal Hinson,fresh,0113947,Washington Post,"It's reserved, polished and challengingly intelligent.",2000-01-01,496447106,Nelly & Monsieur Arnaud
Roger Ebert,fresh,0113947,Chicago Sun-Times,"It is a matter of great erotic fascination when two people are intrigued by the notion of becoming lovers, but are held back by the fear of rejection _and_ the fear of involvement.",2000-01-01,496447106,Nelly & Monsieur Arnaud
Joe Baltake,fresh,0113947,Sacramento Bee,Sautet avoids the pitfalls of the usual May-December romance by eschewing all the cliches.,2000-01-01,496447106,Nelly & Monsieur Arnaud
James Berardinelli,fresh,0113947,ReelViews,"These are two great actors giving top-notch performances, and the restrained romance they project is fascinating.",2000-01-01,496447106,Nelly & Monsieur Arnaud
,fresh,0113947,Entertainment Weekly,,1996-04-12,496447106,Nelly & Monsieur Arnaud
Owen Gleiberman,fresh,0115956,Entertainment Weekly,,2011-09-07,16796,Courage Under Fire
Variety Staff,fresh,0115956,Variety,"A carefully conceived, dramatically honorable picture that treats its subject with clarity and intelligence, especially by contemporary standards.",2008-07-22,16796,Courage Under Fire
,fresh,0115956,Time Out,"As the detective-story flashback structure gets under way, what initially seemed adherence to dramatic and moral cliche becomes more complex and interesting.",2006-06-24,16796,Courage Under Fire
Janet Maslin,fresh,0115956,New York Times,"Despite its underlying predictability, Courage Under Fire manages warmth, intelligence and a healthy share of surprises.",2004-08-30,16796,Courage Under Fire
Desson Thomson,rotten,0115956,Washington Post,I wasn't particularly moved or riveted with suspense.,2002-09-11,16796,Courage Under Fire
Peter Stack,fresh,0115956,San Francisco Chronicle,A fascinating mystery mixed with war action.,2002-06-18,16796,Courage Under Fire
Liam Lacey,fresh,0115956,Globe and Mail,"At the end of Courage Under Fire, you feel torn between admiration and annoyance with the filmmakers, who take an attention-grabbing premise and skillfully develop it into a conclusion that's pure piffle.",2002-04-12,16796,Courage Under Fire
Peter Travers,fresh,0115956,Rolling Stone,Courage Under Fire honors its subject and its audience.,2001-05-12,16796,Courage Under Fire
Kenneth Turan,fresh,0115956,Los Angeles Times,"While its re-creation of combat is not Courage Under Fire's most involving aspect, the film succeeds in making the Gulf War seem more of a real event than all the footage shipped back on CNN could.",2001-02-14,16796,Courage Under Fire
Rita Kempley,fresh,0115956,Washington Post,"A downright entertaining combo or mystery, melodrama and action adventure.",2000-01-01,16796,Courage Under Fire
