Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",330011,NY,READM-30-COPD-HRRP,469,,1.1295,23.4,20.7,119,07/01/2010,06/30/2013
LOGAN MEMORIAL HOSPITAL,180066,KY,READM-30-HF-HRRP,133,,1.1294,26.1,23.1,42,07/01/2010,06/30/2013
MOUNTAINVIEW HOSPITAL,290039,NV,READM-30-HF-HRRP,674,,1.1294,27.1,24.0,190,07/01/2010,06/30/2013
MOUNT SINAI HOSPITAL,330024,NY,READM-30-HF-HRRP,1444,,1.1293,25.9,22.9,381,07/01/2010,06/30/2013
NOVANT HEALTH GAFFNEY MEDICAL CENTER,420043,SC,READM-30-HIP-KNEE-HRRP,Not Available,,1.1292,4.8,4.3,,07/01/2010,06/30/2013
ST JOHN MEDICAL CENTER,360123,OH,READM-30-HIP-KNEE-HRRP,248,,1.1291,6.8,6.0,19,07/01/2010,06/30/2013
BROWARD HEALTH CORAL SPRINGS,100276,FL,READM-30-COPD-HRRP,239,,1.1290,24.1,21.4,67,07/01/2010,06/30/2013
FORT WASHINGTON HOSPITAL,210060,MD,READM-30-HF-HRRP,189,,1.1290,24.3,21.5,53,07/01/2010,06/30/2013
CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER,310040,NJ,READM-30-HF-HRRP,272,,1.1289,26.3,23.3,79,07/01/2010,06/30/2013
ST MARY'S MEDICAL CENTER,150100,IN,READM-30-AMI-HRRP,326,,1.1288,18.3,16.2,66,07/01/2010,06/30/2013
QUEENS HOSPITAL CENTER,330231,NY,READM-30-COPD-HRRP,71,,1.1287,22.5,20.0,25,07/01/2010,06/30/2013
SAN JOAQUIN COMMUNITY HOSPITAL,050455,CA,READM-30-HIP-KNEE-HRRP,260,,1.1284,5.7,5.1,17,07/01/2010,06/30/2013
RUSSELLVILLE HOSPITAL,010158,AL,READM-30-COPD-HRRP,197,,1.1284,21.4,19.0,51,07/01/2010,06/30/2013
ST FRANCIS REGIONAL MEDICAL CENTER,240104,MN,READM-30-HIP-KNEE-HRRP,Not Available,,1.1283,5.5,4.8,,07/01/2010,06/30/2013
MAURY REGIONAL HOSPITAL,440073,TN,READM-30-COPD-HRRP,469,,1.1282,23.6,20.9,120,07/01/2010,06/30/2013
SAN GABRIEL VALLEY MEDICAL CENTER,050132,CA,READM-30-PN-HRRP,338,,1.1282,22.3,19.8,83,07/01/2010,06/30/2013
ST BERNARD HOSPITAL,140103,IL,READM-30-COPD-HRRP,184,,1.1282,24.3,21.5,54,07/01/2010,06/30/2013
LEWISGALE HOSPITAL MONTGOMERY,490110,VA,READM-30-PN-HRRP,207,,1.1281,20.1,17.8,49,07/01/2010,06/30/2013
HOLZER MEDICAL CENTER,360054,OH,READM-30-COPD-HRRP,547,,1.1281,22.7,20.1,133,07/01/2010,06/30/2013
MEMORIAL HOSPITAL OF STILWELL,370178,OK,READM-30-HF-HRRP,67,,1.1281,26.3,23.3,25,07/01/2010,06/30/2013
BRISTOL HOSPITAL,070029,CT,READM-30-PN-HRRP,335,,1.1280,19.0,16.9,71,07/01/2010,06/30/2013
TRMC OF ORANGEBURG & CALHOUN,420068,SC,READM-30-PN-HRRP,205,,1.1280,19.4,17.2,47,07/01/2010,06/30/2013
"SAINT FRANCIS HOSPITAL, INC",370091,OK,READM-30-COPD-HRRP,852,,1.1278,22.9,20.3,204,07/01/2010,06/30/2013
JELLICO COMMUNITY HOSPITAL,440180,TN,READM-30-PN-HRRP,242,,1.1278,20.9,18.5,58,07/01/2010,06/30/2013
BON SECOURS ST FRANCIS MEDICAL CENTER,490136,VA,READM-30-AMI-HRRP,158,,1.1277,19.3,17.1,37,07/01/2010,06/30/2013
HARRISON MEMORIAL HOSPITAL,180079,KY,READM-30-HF-HRRP,91,,1.1275,23.1,20.5,28,07/01/2010,06/30/2013
UNIVERSITY HOSPITALS CASE MEDICAL CENTER,360137,OH,READM-30-HIP-KNEE-HRRP,717,,1.1274,6.1,5.4,46,07/01/2010,06/30/2013
KERSHAW HEALTH,420048,SC,READM-30-PN-HRRP,397,,1.1273,18.8,16.7,82,07/01/2010,06/30/2013
FORREST GENERAL HOSPITAL,250078,MS,READM-30-HF-HRRP,977,,1.1272,25.7,22.8,258,07/01/2010,06/30/2013
CONEY ISLAND HOSPITAL,330196,NY,READM-30-AMI-HRRP,75,,1.1271,24.1,21.4,25,07/01/2010,06/30/2013
QUINCY MEDICAL CENTER,220067,MA,READM-30-PN-HRRP,209,,1.1271,17.7,15.7,44,07/01/2010,06/30/2013
TRISTAR HORIZON MEDICAL CENTER,440046,TN,READM-30-HF-HRRP,310,,1.1269,26.7,23.7,90,07/01/2010,06/30/2013
REGIONAL MEDICAL CENTER BAYONET POINT,100256,FL,READM-30-COPD-HRRP,602,,1.1269,22.8,20.2,146,07/01/2010,06/30/2013
UNIVERSITY OF TEXAS MEDICAL BRANCH GAL,450018,TX,READM-30-PN-HRRP,197,,1.1267,20.1,17.9,47,07/01/2010,06/30/2013
WEST KENDALL BAPTIST HOSPITAL,100314,FL,READM-30-PN-HRRP,105,,1.1265,20.5,18.2,29,07/01/2010,06/30/2013
SOUTH GEORGIA MEDICAL CENTER,110122,GA,READM-30-HIP-KNEE-HRRP,366,,1.1264,5.7,5.1,23,07/01/2010,06/30/2013
NORTH ARKANSAS REGIONAL MEDICAL CENTER,040017,AR,READM-30-HIP-KNEE-HRRP,212,,1.1263,5.6,5.0,14,07/01/2010,06/30/2013
"WEST CHESTER HOSPITAL, LLC",360354,OH,READM-30-HF-HRRP,319,,1.1262,27.5,24.4,95,07/01/2010,06/30/2013
DOCTORS MEDICAL CENTER,050464,CA,READM-30-HF-HRRP,362,,1.1261,24.9,22.1,97,07/01/2010,06/30/2013
GOOD SHEPHERD MEDICAL CENTER MARSHALL,450032,TX,READM-30-HF-HRRP,209,,1.1260,24.9,22.1,59,07/01/2010,06/30/2013
"BEAUMONT HOSPITAL, GROSSE POINTE",230089,MI,READM-30-HF-HRRP,585,,1.1260,26.3,23.4,161,07/01/2010,06/30/2013
COFFEE REGIONAL MEDICAL CENTER,110089,GA,READM-30-PN-HRRP,271,,1.1259,20.9,18.6,64,07/01/2010,06/30/2013
ARKANSAS VALLEY REGIONAL MEDICAL CENTER,060036,CO,READM-30-HIP-KNEE-HRRP,Not Available,,1.1259,6.2,5.5,,07/01/2010,06/30/2013
TOUCHETTE REGIONAL HOSPITAL INC,140077,IL,READM-30-HF-HRRP,59,,1.1257,23.8,21.1,21,07/01/2010,06/30/2013
WASHINGTON HOSPITAL,050195,CA,READM-30-PN-HRRP,483,,1.1257,20.6,18.3,107,07/01/2010,06/30/2013
MIDSTATE MEDICAL CENTER,070017,CT,READM-30-AMI-HRRP,96,,1.1257,21.3,18.9,27,07/01/2010,06/30/2013
BARNES JEWISH HOSPITAL,260032,MO,READM-30-PN-HRRP,568,,1.1256,23.1,20.6,139,07/01/2010,06/30/2013
PALM SPRINGS GENERAL HOSPITAL,100050,FL,READM-30-PN-HRRP,417,,1.1255,23.1,20.6,104,07/01/2010,06/30/2013
GLENWOOD REGIONAL MEDICAL CENTER,190160,LA,READM-30-COPD-HRRP,499,,1.1255,23.5,20.8,126,07/01/2010,06/30/2013
ST VINCENT INFIRMARY MEDICAL CENTER,040007,AR,READM-30-HIP-KNEE-HRRP,1061,,1.1255,5.8,5.2,64,07/01/2010,06/30/2013
GLENDALE MEM HOSPITAL & HLTH CENTER,050058,CA,READM-30-HF-HRRP,622,,1.1254,26.2,23.3,170,07/01/2010,06/30/2013
ORANGE REGIONAL MEDICAL CENTER,330126,NY,READM-30-AMI-HRRP,383,,1.1253,20.5,18.2,85,07/01/2010,06/30/2013
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,330141,NY,READM-30-PN-HRRP,723,,1.1252,22.7,20.2,172,07/01/2010,06/30/2013
PUTNAM HOSPITAL CENTER,330273,NY,READM-30-HF-HRRP,405,,1.1252,26.4,23.4,114,07/01/2010,06/30/2013
RIVERSIDE SHORE MEMORIAL HOSPITAL,490037,VA,READM-30-AMI-HRRP,51,,1.1251,22.3,19.8,18,07/01/2010,06/30/2013
SHASTA REGIONAL MEDICAL CENTER,050764,CA,READM-30-HIP-KNEE-HRRP,311,,1.1251,5.8,5.1,20,07/01/2010,06/30/2013
DAMERON HOSPITAL,050122,CA,READM-30-HIP-KNEE-HRRP,534,,1.1250,6.0,5.3,34,07/01/2010,06/30/2013
UNIVERSITY HOSPITAL,110028,GA,READM-30-PN-HRRP,795,,1.1250,20.8,18.5,173,07/01/2010,06/30/2013
FRANCISCAN ST MARGARET HEALTH - HAMMOND,150004,IN,READM-30-COPD-HRRP,502,,1.1250,24.9,22.1,134,07/01/2010,06/30/2013
UNIVERSITY HOSPITAL,310119,NJ,READM-30-HF-HRRP,161,,1.1250,25.4,22.6,48,07/01/2010,06/30/2013
VIRTUA WEST JERSEY HOSPITALS BERLIN,310022,NJ,READM-30-COPD-HRRP,1381,,1.1250,24.6,21.9,349,07/01/2010,06/30/2013
VASSAR BROTHERS MEDICAL CENTER,330023,NY,READM-30-HF-HRRP,1184,,1.1250,24.7,22.0,300,07/01/2010,06/30/2013
HAMPTON REGIONAL MEDICAL CENTER,420072,SC,READM-30-HF-HRRP,67,,1.1250,26.7,23.7,25,07/01/2010,06/30/2013
ROSELAND COMMUNITY HOSPITAL,140068,IL,READM-30-PN-HRRP,97,,1.1250,21.3,18.9,28,07/01/2010,06/30/2013
CHARLOTTE HUNGERFORD HOSPITAL,070011,CT,READM-30-HIP-KNEE-HRRP,128,,1.1249,6.9,6.1,11,07/01/2010,06/30/2013
JENNERSVILLE REGIONAL HOSPITAL,390220,PA,READM-30-PN-HRRP,381,,1.1248,17.6,15.6,74,07/01/2010,06/30/2013
MERCY HOSPITAL AND MEDICAL CENTER,140158,IL,READM-30-AMI-HRRP,231,,1.1248,21.8,19.4,57,07/01/2010,06/30/2013
VASSAR BROTHERS MEDICAL CENTER,330023,NY,READM-30-PN-HRRP,820,,1.1247,19.1,17.0,164,07/01/2010,06/30/2013
BAYFRONT HEALTH - ST PETERSBURG,100032,FL,READM-30-PN-HRRP,289,,1.1246,20.7,18.4,67,07/01/2010,06/30/2013
ST LUKE'S CORNWALL HOSPITAL,330264,NY,READM-30-HF-HRRP,609,,1.1246,26.9,23.9,171,07/01/2010,06/30/2013
LEHIGH REGIONAL MEDICAL CENTER,100107,FL,READM-30-HF-HRRP,210,,1.1245,25.7,22.8,61,07/01/2010,06/30/2013
ST MARY MERCY HOSPITAL,230002,MI,READM-30-HIP-KNEE-HRRP,397,,1.1243,7.3,6.5,31,07/01/2010,06/30/2013
ST CLAIRE REGIONAL MEDICAL CENTER,180018,KY,READM-30-PN-HRRP,369,,1.1242,20.8,18.5,84,07/01/2010,06/30/2013
HALIFAX REGIONAL MEDICAL CENTER INC,340151,NC,READM-30-PN-HRRP,328,,1.1241,19.5,17.3,71,07/01/2010,06/30/2013
NORTHEAST ALABAMA REGIONAL MED CENTER,010078,AL,READM-30-AMI-HRRP,428,,1.1240,20.4,18.2,94,07/01/2010,06/30/2013
GOLDEN VALLEY MEMORIAL HOSPITAL,260175,MO,READM-30-HIP-KNEE-HRRP,Not Available,,1.1238,6.2,5.5,,07/01/2010,06/30/2013
GLENWOOD REGIONAL MEDICAL CENTER,190160,LA,READM-30-AMI-HRRP,412,,1.1237,19.8,17.6,88,07/01/2010,06/30/2013
INGALLS MEMORIAL HOSPITAL,140191,IL,READM-30-PN-HRRP,430,,1.1236,19.7,17.5,92,07/01/2010,06/30/2013
JERSEY CITY MEDICAL CENTER,310074,NJ,READM-30-COPD-HRRP,265,,1.1236,23.1,20.6,70,07/01/2010,06/30/2013
"JEWISH HOSPITAL, LLC",360016,OH,READM-30-HF-HRRP,541,,1.1236,25.3,22.5,144,07/01/2010,06/30/2013
NEW YORK-PRESBYTERIAN HOSPITAL,330101,NY,READM-30-PN-HRRP,1492,,1.1235,19.5,17.4,298,07/01/2010,06/30/2013
SCOTT & WHITE MEMORIAL HOSPITAL,450054,TX,READM-30-HF-HRRP,723,,1.1235,27.4,24.4,205,07/01/2010,06/30/2013
HABERSHAM COUNTY MEDICAL CTR,110041,GA,READM-30-HIP-KNEE-HRRP,Not Available,,1.1234,5.6,5.0,,07/01/2010,06/30/2013
SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER,490097,VA,READM-30-AMI-HRRP,52,,1.1233,25.4,22.6,20,07/01/2010,06/30/2013
MERCY HEALTH - WEST HOSPITAL,360234,OH,READM-30-HF-HRRP,270,,1.1233,24.1,21.5,72,07/01/2010,06/30/2013
BROWARD HEALTH NORTH,100086,FL,READM-30-HF-HRRP,286,,1.1232,25.5,22.7,80,07/01/2010,06/30/2013
BAYFRONT HEALTH BROOKSVILLE,100071,FL,READM-30-AMI-HRRP,140,,1.1232,19.1,17.0,33,07/01/2010,06/30/2013
MONMOUTH MEDICAL CENTER,310075,NJ,READM-30-HIP-KNEE-HRRP,320,,1.1231,6.5,5.8,23,07/01/2010,06/30/2013
PLAINVIEW HOSPITAL,330331,NY,READM-30-COPD-HRRP,426,,1.1230,23.7,21.1,110,07/01/2010,06/30/2013
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,IL,READM-30-HIP-KNEE-HRRP,392,,1.1230,5.8,5.2,25,07/01/2010,06/30/2013
ORANGE COAST MEMORIAL MEDICAL CENTER,050678,CA,READM-30-HIP-KNEE-HRRP,Not Available,,1.1230,5.6,4.9,,07/01/2010,06/30/2013
MOBILE INFIRMARY,010113,AL,READM-30-HIP-KNEE-HRRP,613,,1.1229,5.7,5.1,37,07/01/2010,06/30/2013
FORT HAMILTON HUGHES MEMORIAL HOSPITAL,360132,OH,READM-30-HF-HRRP,277,,1.1228,25.3,22.5,77,07/01/2010,06/30/2013
BRIDGEPORT HOSPITAL,070010,CT,READM-30-COPD-HRRP,299,,1.1225,21.9,19.5,74,07/01/2010,06/30/2013
MOUNTAIN VIEW REGIONAL MEDICAL CENTER,320085,NM,READM-30-PN-HRRP,332,,1.1225,19.3,17.2,71,07/01/2010,06/30/2013
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,050063,CA,READM-30-COPD-HRRP,377,,1.1223,25.7,22.9,106,07/01/2010,06/30/2013
JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,030014,AZ,READM-30-HIP-KNEE-HRRP,285,,1.1223,5.6,5.0,18,07/01/2010,06/30/2013
MONTEFIORE NEW ROCHELLE HOSPITAL,330184,NY,READM-30-HF-HRRP,399,,1.1222,24.9,22.1,106,07/01/2010,06/30/2013
SAN JOAQUIN COMMUNITY HOSPITAL,050455,CA,READM-30-HF-HRRP,404,,1.1222,26.2,23.4,113,07/01/2010,06/30/2013
CLARA MAASS MEDICAL CENTER,310009,NJ,READM-30-PN-HRRP,393,,1.1222,21.6,19.2,92,07/01/2010,06/30/2013
WELLMONT BRISTOL REGIONAL MEDICAL CENTER,440012,TN,READM-30-HF-HRRP,603,,1.1221,24.9,22.2,157,07/01/2010,06/30/2013
NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER,250042,MS,READM-30-HIP-KNEE-HRRP,Not Available,,1.1221,6.3,5.6,,07/01/2010,06/30/2013
NORTHERN WESTCHESTER HOSPITAL,330162,NY,READM-30-HF-HRRP,398,,1.1220,22.7,20.2,97,07/01/2010,06/30/2013
HARRIS HOSPITAL,040080,AR,READM-30-PN-HRRP,208,,1.1220,19.2,17.1,47,07/01/2010,06/30/2013
WELLMONT LONESOME PINE HOSPITAL,490114,VA,READM-30-AMI-HRRP,52,,1.1220,24.0,21.4,19,07/01/2010,06/30/2013
BAPTIST MEMORIAL HOSPITAL UNION COUNTY,250006,MS,READM-30-HF-HRRP,196,,1.1218,22.6,20.2,51,07/01/2010,06/30/2013
KINGWOOD MEDICAL CENTER,450775,TX,READM-30-COPD-HRRP,619,,1.1218,24.7,22.0,162,07/01/2010,06/30/2013
RUSH OAK PARK HOSPITAL,140063,IL,READM-30-HIP-KNEE-HRRP,172,,1.1218,6.9,6.2,14,07/01/2010,06/30/2013
ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,310064,NJ,READM-30-PN-HRRP,748,,1.1217,20.4,18.2,160,07/01/2010,06/30/2013
ESKENAZI HEALTH,150024,IN,READM-30-PN-HRRP,121,,1.1217,19.1,17.0,30,07/01/2010,06/30/2013
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",010114,AL,READM-30-HIP-KNEE-HRRP,Not Available,,1.1217,6.5,5.8,,07/01/2010,06/30/2013
SOUTHEASTERN REGIONAL MEDICAL CENTER,340050,NC,READM-30-HF-HRRP,874,,1.1217,27.0,24.1,243,07/01/2010,06/30/2013
RIVERSIDE TAPPAHANNOCK HOSPITAL,490084,VA,READM-30-HIP-KNEE-HRRP,Not Available,,1.1217,5.3,4.7,,07/01/2010,06/30/2013
"LANDMARK MEDICAL CENTER,  INC",410011,RI,READM-30-HF-HRRP,347,,1.1215,25.7,22.9,96,07/01/2010,06/30/2013
PALISADES MEDICAL CENTER,310003,NJ,READM-30-AMI-HRRP,152,,1.1214,23.3,20.8,42,07/01/2010,06/30/2013
ST LUKES HOSPITAL OF KANSAS CITY,260138,MO,READM-30-COPD-HRRP,285,,1.1214,23.3,20.7,75,07/01/2010,06/30/2013
BROWNWOOD REGIONAL MEDICAL CENTER,450587,TX,READM-30-HIP-KNEE-HRRP,163,,1.1214,6.7,6.0,13,07/01/2010,06/30/2013
SHAWNEE MISSION MEDICAL CENTER,170104,KS,READM-30-HIP-KNEE-HRRP,605,,1.1214,5.8,5.2,37,07/01/2010,06/30/2013
LEGACY SALMON CREEK MEDICAL CENTER,500150,WA,READM-30-PN-HRRP,304,,1.1213,19.4,17.3,66,07/01/2010,06/30/2013
MAGNOLIA REGIONAL HEALTH CENTER,250009,MS,READM-30-COPD-HRRP,607,,1.1213,23.0,20.5,148,07/01/2010,06/30/2013
UNIVERSITY OF MARYLAND MEDICAL CENTER,210002,MD,READM-30-AMI-HRRP,512,,1.1212,20.4,18.2,111,07/01/2010,06/30/2013
NORWOOD HOSPITAL,220126,MA,READM-30-AMI-HRRP,193,,1.1212,21.0,18.8,47,07/01/2010,06/30/2013
VIDANT EDGECOMBE HOSPITAL,340107,NC,READM-30-COPD-HRRP,259,,1.1212,20.7,18.5,62,07/01/2010,06/30/2013
RIVER OAKS HOSPITAL,250138,MS,READM-30-HF-HRRP,98,,1.1212,23.8,21.2,30,07/01/2010,06/30/2013
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,310110,NJ,READM-30-HF-HRRP,702,,1.1212,25.8,23.0,188,07/01/2010,06/30/2013
JACKSON MEMORIAL HOSPITAL,100022,FL,READM-30-HF-HRRP,595,,1.1212,27.2,24.3,169,07/01/2010,06/30/2013
COMMUNITY HOSPITAL OF HUNTINGTON PARK,050091,CA,READM-30-COPD-HRRP,189,,1.1211,23.5,20.9,53,07/01/2010,06/30/2013
MEDICAL CENTER OF SOUTHEASTERN OKLAHOMA,370014,OK,READM-30-PN-HRRP,471,,1.1210,19.8,17.6,100,07/01/2010,06/30/2013
OUR LADY OF LOURDES MEDICAL CENTER,310029,NJ,READM-30-COPD-HRRP,444,,1.1209,23.9,21.4,115,07/01/2010,06/30/2013
FAIRVIEW RIDGES HOSPITAL,240207,MN,READM-30-HF-HRRP,255,,1.1208,24.4,21.8,69,07/01/2010,06/30/2013
INDIANA REGIONAL MEDICAL CENTER,390173,PA,READM-30-AMI-HRRP,75,,1.1208,23.3,20.8,24,07/01/2010,06/30/2013
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,330396,NY,READM-30-COPD-HRRP,141,,1.1208,23.0,20.5,41,07/01/2010,06/30/2013
NATHAN LITTAUER HOSPITAL,330276,NY,READM-30-PN-HRRP,228,,1.1207,20.2,18.0,53,07/01/2010,06/30/2013
TRUMBULL MEMORIAL HOSPITAL,360055,OH,READM-30-HF-HRRP,537,,1.1206,26.8,23.9,151,07/01/2010,06/30/2013
ST CLAIR MEMORIAL HOSPITAL,390228,PA,READM-30-HF-HRRP,599,,1.1206,23.8,21.2,149,07/01/2010,06/30/2013
RUSSELL HOSPITAL,010065,AL,READM-30-HIP-KNEE-HRRP,Not Available,,1.1205,5.9,5.2,,07/01/2010,06/30/2013
MOUNTAINVIEW HOSPITAL,290039,NV,READM-30-COPD-HRRP,632,,1.1205,23.8,21.2,159,07/01/2010,06/30/2013
RUSH UNIVERSITY MEDICAL CENTER,140119,IL,READM-30-PN-HRRP,309,,1.1204,20.7,18.5,71,07/01/2010,06/30/2013
NESHOBA COUNTY GENERAL HOSPITAL,250043,MS,READM-30-COPD-HRRP,98,,1.1204,19.3,17.2,27,07/01/2010,06/30/2013
MEMORIAL HERMANN NORTHEAST,450684,TX,READM-30-HF-HRRP,459,,1.1204,26.2,23.3,127,07/01/2010,06/30/2013
LOWER BUCKS HOSPITAL,390070,PA,READM-30-HF-HRRP,251,,1.1203,24.4,21.8,68,07/01/2010,06/30/2013
SCRIPPS MERCY HOSPITAL,050077,CA,READM-30-HF-HRRP,729,,1.1203,25.7,22.9,194,07/01/2010,06/30/2013
ST ELIZABETH'S MEDICAL CENTER,220036,MA,READM-30-PN-HRRP,245,,1.1203,19.6,17.5,55,07/01/2010,06/30/2013
UNION HOSPITAL INC,150023,IN,READM-30-COPD-HRRP,1114,,1.1202,24.2,21.6,278,07/01/2010,06/30/2013
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),330350,NY,READM-30-AMI-HRRP,251,,1.1202,21.7,19.4,61,07/01/2010,06/30/2013
HIGHLAND HOSPITAL,050320,CA,READM-30-HF-HRRP,65,,1.1201,22.3,19.9,21,07/01/2010,06/30/2013
MEMORIAL HOSPITAL,180043,KY,READM-30-COPD-HRRP,310,,1.1201,26.2,23.4,90,07/01/2010,06/30/2013
CEDAR PARK REGIONAL MEDICAL CENTER,670043,TX,READM-30-HIP-KNEE-HRRP,Not Available,,1.1200,5.4,4.8,,07/01/2010,06/30/2013
THE MEDICAL CENTER AT BOWLING GREEN,180013,KY,READM-30-COPD-HRRP,870,,1.1199,21.6,19.3,196,07/01/2010,06/30/2013
ST ELIZABETH BOARDMAN HEALTH CENTER,360276,OH,READM-30-AMI-HRRP,60,,1.1198,24.2,21.6,21,07/01/2010,06/30/2013
HUDSON VALLEY HOSPITAL CENTER,330267,NY,READM-30-AMI-HRRP,157,,1.1198,23.9,21.3,44,07/01/2010,06/30/2013
HOUSTON MEDICAL CENTER,110069,GA,READM-30-AMI-HRRP,134,,1.1198,20.0,17.8,33,07/01/2010,06/30/2013
MERCY ST CHARLES HOSPITAL,360081,OH,READM-30-HIP-KNEE-HRRP,218,,1.1198,6.4,5.7,16,07/01/2010,06/30/2013
MOSES TAYLOR HOSPITAL,390119,PA,READM-30-HIP-KNEE-HRRP,232,,1.1196,6.4,5.8,17,07/01/2010,06/30/2013
ST DAVID'S SOUTH AUSTIN MEDICAL CENTER,450713,TX,READM-30-PN-HRRP,529,,1.1196,19.1,17.1,108,07/01/2010,06/30/2013
VIDANT MEDICAL CENTER,340040,NC,READM-30-AMI-HRRP,1395,,1.1195,18.8,16.8,268,07/01/2010,06/30/2013
SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,100102,FL,READM-30-COPD-HRRP,287,,1.1193,23.5,21.0,76,07/01/2010,06/30/2013
GREATER BALTIMORE MEDICAL CENTER,210044,MD,READM-30-HIP-KNEE-HRRP,510,,1.1192,5.5,4.9,30,07/01/2010,06/30/2013
KINGS COUNTY HOSPITAL CENTER,330202,NY,READM-30-COPD-HRRP,114,,1.1191,21.6,19.3,33,07/01/2010,06/30/2013
ST ANTHONY'S MEDICAL CENTER,260077,MO,READM-30-HF-HRRP,1179,,1.1191,25.3,22.6,305,07/01/2010,06/30/2013
OAKWOOD HOSPITAL - WAYNE,230142,MI,READM-30-HIP-KNEE-HRRP,125,,1.1191,8.7,7.8,13,07/01/2010,06/30/2013
FRANCISCAN ST MARGARET HEALTH - HAMMOND,150004,IN,READM-30-PN-HRRP,274,,1.1190,21.8,19.5,67,07/01/2010,06/30/2013
WOOSTER COMMUNITY HOSPITAL,360036,OH,READM-30-PN-HRRP,312,,1.1190,19.6,17.5,68,07/01/2010,06/30/2013
HILLCREST HOSPITAL,360230,OH,READM-30-HIP-KNEE-HRRP,454,,1.1190,6.8,6.1,33,07/01/2010,06/30/2013
CHINESE HOSPITAL,050407,CA,READM-30-HF-HRRP,114,,1.1189,21.6,19.3,31,07/01/2010,06/30/2013
NORTHWEST MEDICAL CENTER-SPRINGDALE,040022,AR,READM-30-HIP-KNEE-HRRP,162,,1.1189,5.6,5.0,11,07/01/2010,06/30/2013
DYERSBURG REGIONAL MEDICAL CENTER,440072,TN,READM-30-COPD-HRRP,389,,1.1188,21.5,19.2,92,07/01/2010,06/30/2013
FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS,150162,IN,READM-30-HIP-KNEE-HRRP,150,,1.1188,6.7,5.9,12,07/01/2010,06/30/2013
WYCKOFF HEIGHTS MEDICAL CENTER,330221,NY,READM-30-AMI-HRRP,77,,1.1187,24.1,21.6,25,07/01/2010,06/30/2013
ST VINCENT'S MEDICAL CENTER,100040,FL,READM-30-COPD-HRRP,1019,,1.1187,22.9,20.5,242,07/01/2010,06/30/2013
MOUNT CARMEL ST ANN'S,360012,OH,READM-30-COPD-HRRP,326,,1.1186,21.7,19.4,79,07/01/2010,06/30/2013
MONONGAHELA VALLEY HOSPITAL,390147,PA,READM-30-AMI-HRRP,113,,1.1184,22.7,20.3,32,07/01/2010,06/30/2013
AURORA MEDICAL CTR KENOSHA,520189,WI,READM-30-HIP-KNEE-HRRP,319,,1.1183,6.0,5.3,21,07/01/2010,06/30/2013
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,050112,CA,READM-30-HF-HRRP,371,,1.1183,26.7,23.9,106,07/01/2010,06/30/2013
BAY AREA HOSPITAL,380090,OR,READM-30-PN-HRRP,290,,1.1181,17.4,15.6,57,07/01/2010,06/30/2013
VASSAR BROTHERS MEDICAL CENTER,330023,NY,READM-30-COPD-HRRP,785,,1.1181,22.4,20.0,184,07/01/2010,06/30/2013
DESERT REGIONAL MEDICAL CENTER,050243,CA,READM-30-AMI-HRRP,244,,1.1180,17.6,15.8,49,07/01/2010,06/30/2013
HIGHLANDS REGIONAL MEDICAL CENTER,180005,KY,READM-30-AMI-HRRP,53,,1.1180,25.4,22.7,20,07/01/2010,06/30/2013
NYACK HOSPITAL,330104,NY,READM-30-HF-HRRP,562,,1.1180,26.4,23.6,155,07/01/2010,06/30/2013
OROVILLE HOSPITAL,050030,CA,READM-30-PN-HRRP,340,,1.1178,20.9,18.7,78,07/01/2010,06/30/2013
BROWARD HEALTH CORAL SPRINGS,100276,FL,READM-30-HF-HRRP,184,,1.1178,25.7,23.0,54,07/01/2010,06/30/2013
WASHINGTON HOSPITAL,050195,CA,READM-30-COPD-HRRP,386,,1.1178,25.0,22.3,105,07/01/2010,06/30/2013
SOUTHEASTERN REGIONAL MEDICAL CENTER,340050,NC,READM-30-PN-HRRP,645,,1.1177,21.9,19.6,148,07/01/2010,06/30/2013
EASTON HOSPITAL,390162,PA,READM-30-HIP-KNEE-HRRP,237,,1.1177,6.7,6.0,18,07/01/2010,06/30/2013
PHYSICIANS MEDICAL CENTER,190241,LA,READM-30-HIP-KNEE-HRRP,Not Available,,1.1176,4.8,4.3,,07/01/2010,06/30/2013
